hospital_id,latitude,longitude,city,name
ca-on-georgian-bay-general-hosp-midland-site,44.7422,-79.9135,Midland,Georgian Bay General Hosp Midland Site
ca-on-bluewater-health-charlotte-eleanor-englehart-petrolia,42.8785,-82.1470,Petrolia,Bluewater Health Charlotte Eleanor Englehart Petrolia
ca-on-sunnybrook,43.7227,-79.3747,Toronto,Sunnybrook Health Sciences Centre
ca-on-london-hlth-sciences-ctr-victoria-hosp,42.9555,-81.2220,London,London Hlth Sciences Ctr Victoria Hosp
ca-on-tor-east-hlth-ntwrk-michael-garron-hosp,43.6898,-79.3257,Toronto,Tor East Hlth Ntwrk Michael Garron Hosp
ca-on-st-joseph-s-health-care-london,43.0007,-81.2546,London,St Joseph S Health Care London
ca-on-perth-and-smiths-falls-district-hospital-perth-site,44.9060,-76.2530,Perth,Perth And Smiths Falls District Hospital Perth Site
ca-on-mackenzie-health-cortellucci-vaughan-hosp,43.8499,-79.5400,Vaughan,Mackenzie Health Cortellucci Vaughan Hosp
ca-on-sioux-lookout-meno-ya-win-health-centre-cntr,50.1130,-91.9056,Sioux Lookout,Sioux Lookout Meno Ya Win Health Centre Cntr
ca-on-thunder-bay-regional-hlth-sciences-ctr,48.4244,-89.2689,Thunder Bay,Thunder Bay Regional Hlth Sciences Ctr
ca-on-bluewater-health-sarnia-general-site,42.9745,-82.4066,Sarnia,Bluewater Health Sarnia General Site
ca-on-pembroke-regional-hospital-inc,45.8270,-77.1110,Pembroke,Pembroke Regional Hospital Inc
ca-on-riverside-health-care-facilities-inc-rainy-river,48.7216,-94.5695,Rainy River,Riverside Health Care Facilities Inc Rainy River
ca-on-riverside-health-care-facilities-inc-la-verendrye,48.6095,-93.4075,Fort Frances,Riverside Health Care Facilities Inc La Verendrye
ca-on-niagara-health-system-st-catharines-gen,43.1678,-79.2372,St. Catharines,Niagara Health System St Catharines Gen
ca-on-niagara-health-system-marotta-family-hosp,43.1678,-79.2372,St. Catharines,Niagara Health System Marotta Family Hosp
ca-on-niagara-health-system-greater-niagara,43.0897,-79.1023,Niagara Falls,Niagara Health System Greater Niagara
ca-on-niagara-health-system-welland-county,42.9922,-79.2483,Welland,Niagara Health System Welland County
ca-on-niagara-health-system-port-colborne-site,42.8914,-79.2520,Port Colborne,Niagara Health System Port Colborne Site
ca-on-niagara-health-system-fort-erie-douglas-site,42.9017,-78.9721,Fort Erie,Niagara Health System Fort Erie Douglas Site
ca-on-perth-smiths-falls-dist-smiths-falls-site,44.9045,-76.0233,Smiths Falls,Perth Smiths Falls Dist Smiths Falls Site
ca-on-brightshores-health-system-meaford-site,44.6079,-80.5921,Meaford,Brightshores Health System Meaford Site
ca-on-brightshores-health-system-owen-sound,44.5696,-80.9108,Owen Sound,Brightshores Health System Owen Sound
ca-on-brightshores-health-system-owen-sound-site,44.5696,-80.9108,Owen Sound,Brightshores Health System Owen Sound Site
ca-on-brightshores-health-system-wiarton-site,44.7333,-81.1333,Wiarton,Brightshores Health System Wiarton Site
ca-on-brightshores-health-system-markdale-site,44.2001,-80.4908,Markdale,Brightshores Health System Markdale Site
ca-on-brightshores-health-system-southampton-site,44.4988,-81.3734,Southampton,Brightshores Health System Southampton Site
ca-on-brightshores-health-system-lions-head-site,45.0441,-81.2588,Lion's Head,Brightshores Health System Lions Head Site
ca-on-halton-healthcare-services-corp-georgetown,43.6400,-79.9340,Georgetown,Halton Healthcare Services Corp Georgetown
ca-on-halton-healthcare-services-corp-milton,43.5183,-79.8774,Milton,Halton Healthcare Services Corp Milton
ca-on-halton-healthcare-services-corp-oakville,43.4501,-79.6829,Oakville,Halton Healthcare Services Corp Oakville
ca-on-brant-community-healthcare-sys-brantford,43.1521,-80.2763,Brantford,Brant Community Healthcare Sys Brantford
ca-on-william-osler,43.7473,-79.7444,Brampton,William Osler Health System
ca-on-health-sciences-north-laurentian,46.4678,-80.9964,Sudbury,Health Sciences North Laurentian
ca-on-lakeridge-health-oshawa-site,43.9033,-78.8683,Oshawa,Lakeridge Health Oshawa Site
ca-on-lakeridge-health-ajax-site,43.8369,-79.0169,Ajax,Lakeridge Health Ajax Site
ca-on-lakeridge-health-bowmanville-site,43.9048,-78.6750,Bowmanville,Lakeridge Health Bowmanville Site
ca-on-lakeridge-health-port-perry-site,44.1032,-78.9528,Port Perry,Lakeridge Health Port Perry Site
ca-on-humber-river-health-wilson-site,43.7242,-79.4886,Toronto,Humber River Health Wilson Site
ca-on-unity-health-toronto-st-michael-s,43.6534,-79.3776,Toronto,Unity Health Toronto St Michael S
ca-on-unity-health-toronto-st-joseph-s,43.6393,-79.4452,Toronto,Unity Health Toronto St Joseph S
ca-on-toronto-general,43.6590,-79.3875,Toronto,University Health Network
ca-on-hospital-for-sick-children-the,43.6573,-79.3892,Toronto,Hospital For Sick Children The
ca-on-sinai-health-system-mount-sinai-site,43.6592,-79.3904,Toronto,Sinai Health System Mount Sinai Site
ca-on-ottawa-hospital-the-civic-site,45.3922,-75.7225,Ottawa,Ottawa Hospital The Civic Site
ca-on-ottawa-hospital-the-general-site,45.4011,-75.6492,Ottawa,Ottawa Hospital The General Site
ca-on-quinte-health-belleville,44.1633,-77.3647,Belleville,Quinte Health Belleville
ca-on-quinte-health-picton,44.0156,-77.1372,Picton,Quinte Health Picton
ca-on-oak-valley-health-markham-stouffville-hospital,43.8840,-79.2263,Markham,Oak Valley Health Markham Stouffville Hospital
ca-on-oak-valley-health-uxbridge-hospital,44.1028,-79.1272,Uxbridge,Oak Valley Health Uxbridge Hospital
ca-on-trillium-health-partners-mississauga,43.5717,-79.6076,Mississauga,Trillium Health Partners Mississauga
ca-on-trillium-health-partners-credit-valley,43.5555,-79.7042,Mississauga,Trillium Health Partners Credit Valley
ca-on-trillium-health-partners-queensway-hlth,43.6166,-79.5583,Etobicoke,Trillium Health Partners Queensway Hlth
ca-on-muskoka-algonquin-healthcare-huntsville,45.3334,-79.2163,Huntsville,Muskoka Algonquin Healthcare Huntsville
